Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Kosovo,XKX,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,6.5858302116394,6.551109790802,..,5.53506994247437,4.73833990097046,3.75997996330261,..,..,..,..,..,..,..,..,4.77148008346558,5.84771013259888,6.3654899597168,6.38917016983032,6.49243021011353,6.55125999450684
Kyrgyz Republic,KGZ,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,3.50838994979858,3.85418009757996,4.44545984268188,4.47541999816895,4.62243986129761,4.87383985519409,5.54986000061035,6.46700000762939,5.91318988800049,6.23267984390259,5.81883001327515,6.79061985015869,7.38423013687134,6.78020000457764,5.53159999847412,5.98550987243652,6.58615016937256,6.02618980407715,5.55267000198364,5.36674976348877,..
Lao PDR,LAO,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,1.50369000434875,1.9902800321579,2.82522010803223,..,2.41300010681152,2.4140899181366,2.95879006385803,3.07841992378235,2.27854990959167,1.65485000610352,1.70978999137878,1.70801997184753,1.82147002220154,3.23380994796753,2.93780994415283,..,..,..,..,..,..
Latvia,LVA,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,5.28064012527466,5.45413017272949,5.60949993133545,5.06685018539429,4.84540987014771,..,4.69612979888916,4.64067983627319,5.38116979598999,5.5423002243042,5.05705976486206,4.91069984436035,6.54672002792358,6.94364976882935,5.28388977050781,5.28493976593018,4.65953016281128,4.37029981613159,4.24517011642456,..,..
Lebanon,LBN,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,2.84148001670837,2.55271005630493,..,2.64094996452332,2.64618992805481,2.77975988388062,2.58357000350952,2.01479005813599,1.76570999622345,1.61330997943878,1.65251994132996,2.14808988571167,2.43245005607605,2,2.09999990463257,2.12392997741699,2.13294005393982,2.52447009086609,2.59202003479004,..
Lesotho,LSO,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,10.0915498733521,9.36505031585693,10.1004495620728,13.2195701599121,11.1090097427368,12.0796604156494,11.2712802886963,..,12.3295202255249,..,..,8.16510009765625,7.66605997085571,7.29226016998291,7.19859981536865,9,7.76074981689453,8.15688991546631,7.28535985946655,7.80014991760254,7.37501001358032
Liberia,LBR,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,1.70166003704071,..,..,..,1.77711999416351,1.73466002941132,2.27909994125366,2.1708300113678,2.14812994003296,2.76128005981445,2.58412003517151,2.27039003372192,2.30928993225098
Libya,LBY,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,2.46013998985291,2.43333005905151,..,2.05380988121033,1.92119002342224,2.04836988449097,..,..,2.55604004859924,..,..,..,..,..,..,..,..,..
Lithuania,LTU,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,5.84758996963501,5.80007982254028,5.11418008804321,5.17428016662598,4.87839984893799,4.82572984695435,4.59521007537842,4.83990001678467,5.58523988723755,5.29786014556885,5.11343002319336,4.75802993774414,4.60233020782471,4.48657989501953,4.2271900177002,4.004310131073,3.81220006942749,3.89495992660522,..,..
Luxembourg,LUX,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,3.55579996109009,..,..,..,..,..,..,..,..,..,..,4.09041023254395,..,4.00789022445679,3.91820001602173,..,3.56959009170532,3.66626000404358,..,..
Macao SAR China,MAC,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,3.31438994407654,2.71446990966797,2.84295988082886,2.78016996383667,2.23348999023438,2.2778799533844,2.19386005401611,2.04345011711121,2.1964099407196,2.53323006629944,2.61848998069763,2.67528009414673,3.32516002655029,2.05048990249634,2.04853010177612,3.00165009498596,3.09854006767273,2.70557999610901,2.72788000106812,3.06146001815796,..
Madagascar,MDG,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,2.4386899471283,2.707200050354,2.23179006576538,2.61094999313354,2.81261992454529,3.3096399307251,2.83097004890442,2.90274000167847,2.55433988571167,2.82512998580933,2.75,2.38168001174927,2.34067010879517,1.77693998813629,2.3812301158905,2.21011996269226,2.68719005584717,2.8364200592041,2.87452006340027,2.94490003585815,..
Malawi,MWI,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,5.24797010421753,4.50897979736328,..,3.21566009521484,..,..,..,..,..,..,3.53979992866516,4.1526198387146,..,5.41617012023926,4.83983993530273,5.60866022109985,4.74856996536255,4.03133010864258,3.38193988800049,3.71131992340088,2.90761995315552
Malaysia,MYS,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,5.9716100692749,7.48446989059448,7.65792989730835,7.50288009643555,5.92389011383057,..,4.48576021194458,4.37253999710083,3.95851993560791,5.97418022155762,4.96645021438599,5.76293992996216,5.73902988433838,5.48120021820068,5.21263980865479,4.89486980438232,4.75192022323608,4.6753101348877,4.47959995269775,4.16339015960693,..
Maldives,MDV,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,5.79186010360718,5.32406997680664,4.66160011291504,5.0168399810791,4.64523983001709,4.41788005828857,4.470290184021,5.08168983459473,3.63328003883362,3.08072996139526,3.34085988998413,3.3882999420166,3.0885899066925,3.88749003410339,3.68701004981995,3.88747000694275,3.91248989105225,4.12159013748169,..
Mali,MLI,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,2.97156000137329,2.65844988822937,2.8962299823761,3.80559992790222,3.85922002792358,3.52218008041382,..,..,3.403559923172,3.86904001235962,3.34388995170593,3.75423002243042,3.47949004173279,3.28465008735657,3.64819002151489,3.80152010917664,3.09477996826172,3.78976988792419,3.88252997398376,3.43867993354797,..
Malta,MLT,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,4.14305019378662,..,4.43492984771729,..,..,5.94750022888184,5.50121021270752,5.07039022445679,6.25004005432129,7.69612979888916,6.34545993804932,7.57923984527588,7.00420999526978,5.02398014068604,5.08445978164673,4.65162992477417,..,..,..
Marshall Islands,MHL,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,8.20897960662842,11.8198003768921,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.61128997802734,..
Mauritania,MRT,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,2.10683989524841,2.27714991569519,2.36501002311707,1.9507999420166,..,1.95851004123688,..,..,..,..,2.33102011680603,2.15821003913879,2.29354000091553,..,..,1.94405996799469,..,..,1.89373004436493,1.88659000396729
Mauritius,MUS,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,3.76910996437073,3.11486005783081,3.06089997291565,4.41583013534546,4.31306982040405,4.07819986343384,3.69751000404358,3.18540000915527,3.06307005882263,3.04731011390686,3.55147004127502,3.33207011222839,3.41820001602173,3.61578989028931,4.91695022583008,4.88667011260986,5.01359987258911,5.02312994003296,4.83458995819092,4.71929979324341,4.60799980163574
Mexico,MEX,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,3.99243998527527,4.24104022979736,4.45495986938477,5.07257986068726,4.72670984268188,4.84568977355957,4.69992017745972,4.69050979614258,4.82006978988647,5.18794012069702,5.15922021865845,5.10564994812012,5.10309982299805,4.69605016708374,5.25747013092041,5.22942018508911,4.90681982040405,4.51821994781494,4.25442981719971,..,..
Micronesia Fed. Sts.,FSM,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,6.70687007904053,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.407919883728,13.5126600265503,12.4164199829102,9.69705009460449,..,..
Moldova,MDA,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,4.48639011383057,4.84684991836548,5.4979100227356,5.42489004135132,6.77103996276855,7.16270017623901,7.49899005889893,8.29337024688721,8.23727035522461,9.5097599029541,7.5922999382019,7.13638019561768,6.98338985443115,5.90975999832153,6.26601982116699,5.80568981170654,5.60844993591309,5.6184401512146,5.43973016738892,6.10457992553711,..
Monaco,MCO,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,1.25536000728607,..,..,..,1.2438600063324,..,..,..,..,1.35459005832672,1.31735002994537,1.58989000320435,1.78004002571106,1.33440005779266,1.02195000648499,..,1.37092995643616,1.45792996883392,..,1.15266001224518,..
Mongolia,MNG,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,5.55037021636963,..,7.21078014373779,..,4.32572984695435,..,..,4.69013023376465,..,5.14484977722168,4.64510011672974,4.60902976989746,5.19520998001099,4.94077014923096,4.71484994888306,4.17699003219604,5.18061017990112,4.08859014511108,6.17301988601685,4.94088983535767,..
Montenegro,MNE,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
